,archived,description,fields_issuetype_avatarId,fields_issuetype_description,fields_issuetype_iconUrl,fields_issuetype_id,fields_issuetype_name,fields_issuetype_self,fields_issuetype_subtask,fields_priority_iconUrl,fields_priority_id,fields_priority_name,fields_priority_self,fields_status_description,fields_status_iconUrl,fields_status_id,fields_status_name,fields_status_self,fields_status_statusCategory_colorName,fields_status_statusCategory_id,fields_status_statusCategory_key,fields_status_statusCategory_name,fields_status_statusCategory_self,fields_summary,id,key,name,released,self
0,False,,,,,,,,,,,,,,,,,,,,,,,,10000,,SDETV1.1,False,https://monsterprajju.atlassian.net/rest/api/3/version/10000
1,False,,,,,,,,,,,,,,,,,,,,,,,,10000,,SDETV1.1,False,https://monsterprajju.atlassian.net/rest/api/3/version/10000
2,False,,,,,,,,,,,,,,,,,,,,,,,,10000,,SDETV1.1,False,https://monsterprajju.atlassian.net/rest/api/3/version/10000
3,False,,,,,,,,,,,,,,,,,,,,,,,,10000,,SDETV1.1,False,https://monsterprajju.atlassian.net/rest/api/3/version/10000
0,,,10316.0,The sub-task of the issue,https://monsterprajju.atlassian.net/secure/viewavatar?size=medium&avatarId=10316&avatarType=issuetype,10102,Sub-task,https://monsterprajju.atlassian.net/rest/api/3/issuetype/10102,True,https://monsterprajju.atlassian.net/images/icons/priorities/medium.svg,3,Medium,https://monsterprajju.atlassian.net/rest/api/3/priority/3,,https://monsterprajju.atlassian.net/,10000,To Do,https://monsterprajju.atlassian.net/rest/api/3/status/10000,blue-gray,2.0,new,To Do,https://monsterprajju.atlassian.net/rest/api/3/statuscategory/2,create a project in python regarding jira,10007,SR-8,,,https://monsterprajju.atlassian.net/rest/api/3/issue/10007
1,,,10316.0,The sub-task of the issue,https://monsterprajju.atlassian.net/secure/viewavatar?size=medium&avatarId=10316&avatarType=issuetype,10102,Sub-task,https://monsterprajju.atlassian.net/rest/api/3/issuetype/10102,True,https://monsterprajju.atlassian.net/images/icons/priorities/medium.svg,3,Medium,https://monsterprajju.atlassian.net/rest/api/3/priority/3,,https://monsterprajju.atlassian.net/,10000,To Do,https://monsterprajju.atlassian.net/rest/api/3/status/10000,blue-gray,2.0,new,To Do,https://monsterprajju.atlassian.net/rest/api/3/statuscategory/2,import jira,10008,SR-9,,,https://monsterprajju.atlassian.net/rest/api/3/issue/10008
2,,,10316.0,The sub-task of the issue,https://monsterprajju.atlassian.net/secure/viewavatar?size=medium&avatarId=10316&avatarType=issuetype,10102,Sub-task,https://monsterprajju.atlassian.net/rest/api/3/issuetype/10102,True,https://monsterprajju.atlassian.net/images/icons/priorities/medium.svg,3,Medium,https://monsterprajju.atlassian.net/rest/api/3/priority/3,,https://monsterprajju.atlassian.net/,10000,To Do,https://monsterprajju.atlassian.net/rest/api/3/status/10000,blue-gray,2.0,new,To Do,https://monsterprajju.atlassian.net/rest/api/3/statuscategory/2,configure rest api with jira using python,10009,SR-10,,,https://monsterprajju.atlassian.net/rest/api/3/issue/10009
3,,,10316.0,The sub-task of the issue,https://monsterprajju.atlassian.net/secure/viewavatar?size=medium&avatarId=10316&avatarType=issuetype,10102,Sub-task,https://monsterprajju.atlassian.net/rest/api/3/issuetype/10102,True,https://monsterprajju.atlassian.net/images/icons/priorities/medium.svg,3,Medium,https://monsterprajju.atlassian.net/rest/api/3/priority/3,This issue is being actively worked on at the moment by the assignee.,https://monsterprajju.atlassian.net/images/icons/statuses/inprogress.png,3,In Progress,https://monsterprajju.atlassian.net/rest/api/3/status/3,yellow,4.0,indeterminate,In Progress,https://monsterprajju.atlassian.net/rest/api/3/statuscategory/4,testing,10010,SR-11,,,https://monsterprajju.atlassian.net/rest/api/3/issue/10010
4,,,10316.0,The sub-task of the issue,https://monsterprajju.atlassian.net/secure/viewavatar?size=medium&avatarId=10316&avatarType=issuetype,10102,Sub-task,https://monsterprajju.atlassian.net/rest/api/3/issuetype/10102,True,https://monsterprajju.atlassian.net/images/icons/priorities/medium.svg,3,Medium,https://monsterprajju.atlassian.net/rest/api/3/priority/3,,https://monsterprajju.atlassian.net/,10000,To Do,https://monsterprajju.atlassian.net/rest/api/3/status/10000,blue-gray,2.0,new,To Do,https://monsterprajju.atlassian.net/rest/api/3/statuscategory/2,Review the documents regarding jira,10003,SR-4,,,https://monsterprajju.atlassian.net/rest/api/3/issue/10003
5,,,10316.0,The sub-task of the issue,https://monsterprajju.atlassian.net/secure/viewavatar?size=medium&avatarId=10316&avatarType=issuetype,10102,Sub-task,https://monsterprajju.atlassian.net/rest/api/3/issuetype/10102,True,https://monsterprajju.atlassian.net/images/icons/priorities/medium.svg,3,Medium,https://monsterprajju.atlassian.net/rest/api/3/priority/3,,https://monsterprajju.atlassian.net/,10000,To Do,https://monsterprajju.atlassian.net/rest/api/3/status/10000,blue-gray,2.0,new,To Do,https://monsterprajju.atlassian.net/rest/api/3/statuscategory/2,Get awareness on jira pmo,10004,SR-5,,,https://monsterprajju.atlassian.net/rest/api/3/issue/10004
6,,,10316.0,The sub-task of the issue,https://monsterprajju.atlassian.net/secure/viewavatar?size=medium&avatarId=10316&avatarType=issuetype,10102,Sub-task,https://monsterprajju.atlassian.net/rest/api/3/issuetype/10102,True,https://monsterprajju.atlassian.net/images/icons/priorities/medium.svg,3,Medium,https://monsterprajju.atlassian.net/rest/api/3/priority/3,,https://monsterprajju.atlassian.net/,10000,To Do,https://monsterprajju.atlassian.net/rest/api/3/status/10000,blue-gray,2.0,new,To Do,https://monsterprajju.atlassian.net/rest/api/3/statuscategory/2,learn agile,10005,SR-6,,,https://monsterprajju.atlassian.net/rest/api/3/issue/10005
7,,,10316.0,The sub-task of the issue,https://monsterprajju.atlassian.net/secure/viewavatar?size=medium&avatarId=10316&avatarType=issuetype,10102,Sub-task,https://monsterprajju.atlassian.net/rest/api/3/issuetype/10102,True,https://monsterprajju.atlassian.net/images/icons/priorities/medium.svg,3,Medium,https://monsterprajju.atlassian.net/rest/api/3/priority/3,,https://monsterprajju.atlassian.net/,10000,To Do,https://monsterprajju.atlassian.net/rest/api/3/status/10000,blue-gray,2.0,new,To Do,https://monsterprajju.atlassian.net/rest/api/3/statuscategory/2,know what and how retrospective is done?,10006,SR-7,,,https://monsterprajju.atlassian.net/rest/api/3/issue/10006
